id,repayment,monitoring,measurement,identification,communication,prevention,priorization,representation/documentation
A1,1,0,0,0,0,0,0,0
A2,0,0,0,1,0,0,0,0
A3,0,0,1,1,0,0,0,0
A4,0,0,0,1,0,0,0,0
A5,0,0,0,1,0,0,0,0
A6,0,1,0,0,0,0,0,0
A7,0,0,1,0,0,0,0,0
A8,0,0,0,1,0,0,0,0
A9,0,0,0,1,0,0,0,0
A10,0,0,0,0,0,0,1,0
A11,0,0,1,1,0,0,0,0
A12,0,0,1,1,0,0,0,0
A13,0,0,1,1,0,0,0,0
A14,0,0,0,1,0,0,0,0
A15,0,0,0,1,0,0,0,0
A16,0,0,0,1,0,0,0,0
A17,0,0,0,1,0,0,0,0
A18,0,0,0,1,0,0,0,0
A19,0,1,0,1,0,0,0,0
A20,0,0,1,0,0,0,0,0
A21,0,1,1,1,0,0,0,0
A22,0,0,0,1,0,0,0,0
A23,0,0,0,1,0,0,0,1
A24,0,0,1,0,0,0,0,0
A25,0,0,0,1,0,0,0,0
A26,0,0,0,1,0,0,0,0
A27,0,0,0,1,0,0,0,0
A28,0,0,1,1,0,0,0,0
A29,0,0,0,1,0,0,0,0
A30,0,0,0,1,0,0,0,0
A31,0,0,0,1,0,0,0,0
A32,0,0,0,1,0,0,0,0
A33,0,0,0,1,0,0,0,0
A34,0,0,0,1,0,0,0,0
A35,0,0,0,1,0,0,0,0
A36,0,0,0,1,0,0,0,0
A37,1,0,0,1,0,0,0,0
A38,0,0,0,1,0,0,0,0
A39,0,0,0,1,0,0,0,0
A40,0,0,0,1,0,0,0,0
A41,0,0,0,1,0,0,0,0
A42,0,0,1,1,0,0,0,0
A43,1,0,0,1,0,0,0,0
A44,0,0,0,1,0,0,0,0
A45,0,0,1,1,0,1,1,0
A46,0,0,1,1,0,1,1,0
A47,0,0,0,1,0,0,0,0
A48,0,0,0,1,0,0,0,0
A49,0,1,0,1,1,0,0,1
A50,0,0,0,1,0,0,0,0
A51,0,0,0,1,0,0,0,0
A52,0,0,0,1,0,0,0,0
A53,0,0,0,1,0,0,0,0
A54,0,0,0,1,0,0,0,0
A55,0,0,0,1,0,0,0,0
A56,0,0,0,1,0,0,0,0
A57,0,0,0,1,0,0,1,0
A58,0,0,0,1,0,0,0,0
A59,0,0,0,1,0,0,0,0
A60,0,0,0,1,0,0,0,0
A61,0,0,0,1,0,0,0,0
A62,0,0,0,1,0,0,0,0
A63,0,0,0,1,0,0,0,0
A64,0,0,0,1,0,0,0,0
A65,0,0,0,1,0,0,0,0
A66,0,0,1,1,0,0,0,0
A67,0,0,0,1,0,0,0,0
A68,0,0,0,1,0,0,0,0
A69,0,0,0,1,0,0,0,0
A70,0,0,0,1,0,0,0,0
A71,1,0,0,0,0,0,0,0
A72,0,0,0,1,0,0,0,0
A73,0,0,0,1,0,0,0,0
A74,0,0,0,1,0,0,0,0
A75,0,0,0,1,0,0,0,0
A76,0,0,0,1,0,0,0,0
A77,0,0,0,1,0,0,0,0
A78,0,0,0,1,0,0,0,0
A79,0,0,0,1,0,0,0,0
A80,1,0,0,0,0,0,0,0
A81,0,0,0,1,0,0,0,0
A82,0,0,0,1,0,0,0,0
A83,0,0,0,1,0,0,0,0
A84,0,0,0,1,0,0,0,0
A85,0,1,1,1,0,0,0,0
A86,0,0,1,1,0,0,1,0
A87,0,0,0,1,0,0,0,0
A88,0,0,1,1,0,0,0,0
A89,0,1,1,1,0,0,1,0
A90,0,0,0,1,0,0,0,0
A91,0,0,0,1,0,0,0,0
A92,0,0,0,1,0,0,0,0
A93,0,0,0,1,0,0,0,0
A94,0,0,0,1,0,0,0,0
A95,0,0,0,1,0,0,0,0
A96,0,0,0,1,0,0,0,0
A97,1,1,1,1,0,0,0,0
A98,0,0,0,1,0,0,0,0
A99,0,0,0,1,0,0,0,0
A100,0,0,1,0,0,0,1,0
A101,0,1,1,1,0,0,1,0
A102,0,0,0,1,0,0,0,0
A103,0,0,0,1,0,0,0,0
A104,0,0,1,1,0,0,0,0
A105,0,0,1,1,0,0,0,0
A106,0,0,0,1,0,0,0,0
A107,0,0,1,1,0,0,0,0
A108,0,0,1,1,0,0,0,0
A109,0,0,0,1,0,0,0,0
A110,0,0,0,1,0,0,0,1
A111,0,0,0,1,0,0,0,0
A112,0,0,1,1,0,0,0,0
A113,0,0,1,1,0,0,0,0
A114,0,0,0,1,0,0,0,0
A115,0,0,0,1,0,0,0,0
