id,code,design,architectural,test,documentation,requirements,build,infrastructure,versioning,satd
A1,1,1,0,0,0,0,0,0,0,0
A2,0,0,0,0,0,0,0,0,0,1
A3,1,1,0,0,0,0,0,0,0,0
A4,0,0,1,0,0,0,0,0,0,0
A5,0,0,1,0,0,0,0,0,0,0
A6,0,0,1,0,0,0,0,0,0,0
A7,0,0,1,0,0,0,0,0,0,0
A8,1,1,0,0,0,0,0,0,0,0
A9,0,0,0,0,0,0,1,0,0,0
A10,1,1,0,0,0,0,0,0,0,1
A11,1,1,1,0,0,0,0,0,0,0
A12,1,1,1,0,0,0,0,0,0,0
A13,1,1,1,0,0,0,0,0,0,0
A14,1,0,0,0,0,0,0,0,0,0
A15,1,1,0,0,0,0,0,0,0,0
A16,1,1,0,0,0,0,0,0,0,0
A17,1,0,0,0,0,0,0,0,0,0
A18,1,0,0,0,0,0,0,0,0,0
A19,1,0,0,0,0,0,0,0,0,0
A20,1,1,1,0,0,0,0,0,0,0
A21,1,0,0,0,0,0,0,0,0,0
A22,1,0,0,0,0,0,0,0,0,0
A23,1,1,0,0,0,0,0,0,0,0
A24,0,1,0,0,0,0,0,0,0,0
A25,1,0,0,0,0,0,0,0,0,0
A26,0,1,0,1,1,0,0,0,0,0
A27,0,1,0,0,0,0,0,0,0,0
A28,1,0,0,0,0,0,0,0,0,0
A29,1,0,0,0,0,0,0,0,0,0
A30,1,0,0,0,0,0,0,0,0,0
A31,1,1,1,0,0,0,0,0,0,0
A32,1,1,1,0,0,0,0,0,0,0
A33,0,1,1,0,0,0,0,0,0,0
A34,0,1,0,0,0,0,0,0,0,0
A35,0,0,0,0,0,0,0,0,0,1
A36,0,0,0,0,0,0,0,0,0,1
A37,0,0,1,0,0,0,0,0,0,0
A38,1,1,1,0,0,0,0,0,0,0
A39,1,1,1,0,0,0,0,0,0,0
A40,1,0,0,0,0,0,0,0,0,0
A41,1,0,0,0,0,0,0,0,0,0
A42,0,1,1,0,0,0,0,0,0,0
A43,0,1,0,0,0,0,0,0,0,0
A44,1,0,0,0,0,0,0,0,0,0
A45,0,1,0,0,0,0,0,0,0,0
A46,0,1,0,0,0,0,0,0,0,0
A47,1,0,0,0,0,0,0,0,0,0
A48,1,0,0,0,0,0,0,0,0,0
A49,0,0,0,0,0,0,0,0,0,1
A50,0,1,0,0,0,0,0,0,0,0
A51,0,1,0,0,0,0,0,0,0,0
A52,1,0,0,0,0,0,0,0,0,0
A53,1,0,0,0,0,0,0,0,0,0
A54,0,1,0,0,0,0,0,0,0,0
A55,0,1,0,0,0,0,0,0,0,0
A56,0,0,0,0,0,0,0,0,0,1
A57,0,1,0,0,0,0,0,0,0,0
A58,1,1,0,0,0,0,0,0,0,0
A59,1,0,0,0,0,0,0,0,0,0
A60,1,0,0,0,0,0,0,0,0,0
A61,1,1,0,0,0,0,0,0,0,0
A62,1,1,0,0,0,0,0,0,0,0
A63,0,0,1,0,0,0,0,0,0,0
A64,1,0,0,0,0,0,0,0,0,0
A65,0,0,0,0,0,0,0,0,0,1
A66,1,1,1,1,0,0,0,0,0,0
A67,0,1,0,0,0,0,0,0,0,0
A68,1,0,0,0,0,0,0,0,0,0
A69,1,0,0,0,0,0,0,0,0,0
A70,1,1,0,0,0,0,0,0,0,0
A71,1,0,0,0,0,0,0,0,0,0
A72,1,0,0,0,0,0,0,0,0,0
A73,0,1,0,0,0,0,0,0,0,0
A74,0,1,0,0,0,0,0,0,0,0
A75,1,0,0,0,0,0,0,0,0,0
A76,1,0,0,0,0,0,0,0,0,0
A77,0,0,0,0,0,0,0,0,0,1
A78,1,0,0,0,0,0,0,0,0,0
A79,1,0,0,0,0,0,0,0,0,0
A80,1,1,0,0,0,0,0,0,0,0
A81,1,0,0,0,0,0,0,0,0,0
A82,1,1,0,0,0,0,0,0,0,0
A83,0,1,0,0,0,0,0,0,0,1
A84,0,0,0,0,0,0,0,0,0,1
A85,1,1,0,0,0,0,0,0,0,0
A86,0,0,1,0,0,0,0,0,0,0
A87,1,0,0,0,0,0,0,0,0,0
A88,1,0,0,0,0,0,0,0,0,0
A89,1,1,1,0,0,0,0,0,0,0
A90,1,1,0,0,0,0,0,0,0,0
A91,1,0,0,0,0,0,0,0,0,0
A92,1,0,0,0,0,0,0,0,0,0
A93,1,0,0,0,0,0,0,0,0,0
A94,1,0,0,0,0,0,0,0,0,0
A95,1,0,0,0,0,0,0,0,0,0
A96,1,0,0,0,0,0,0,0,0,0
A97,1,1,1,1,0,0,0,0,0,0
A98,1,0,0,0,0,0,0,0,0,0
A99,1,0,0,0,0,0,0,0,0,0
A100,1,1,1,1,0,0,0,0,0,0
A101,1,1,0,1,0,1,0,0,0,0
A102,1,1,1,0,0,0,0,0,0,0
A103,1,1,1,0,0,0,0,0,0,0
A104,1,1,1,0,0,0,0,0,0,0
A105,1,0,0,0,0,0,0,0,0,0
A106,1,1,0,0,0,0,0,0,0,0
A107,1,1,1,1,0,0,0,0,0,0
A108,1,1,1,1,0,0,0,0,0,0
A109,0,0,0,0,0,0,0,0,0,1
A110,0,0,0,0,0,0,0,0,0,1
A111,0,1,0,0,0,0,0,0,0,0
A112,1,1,1,0,0,0,0,0,0,0
A113,1,1,1,0,0,0,0,0,0,0
A114,1,0,0,0,0,0,0,0,0,0
A115,0,0,0,0,0,0,0,0,0,1
