,id,title,abstract,study-type,author,author_type,year,venue,venue_type,link,reference,objective,artifacts
0,S1,CCFinder: A Multilinguistic Token-Based Code Clone Detection System for Large Scale Source Code,"A code clone is a code portion in source files that is identical or similar to another. Since code clones are believed to reduce the maintainability of software, several code clone detection techniques and tools have been Proposed. This paper Proposes a new clone detection technique, which consists of the transformation of input source text and a token-by-token comparison. For its implementation with several Useful optimization techniques, we have developed a tool, named CCFinder (Code Clone Finder), which extracts code clones in C, C++, Java, COBOL and other source files. In addition, metrics for the code clones have been developed. In order to evaluate the Usefulness of CCFinder and metrics, we conducted several case studies where we applied the new tool to the source code of JDK, FreeBSD, NetBSD, Linux, and many other systems. As a result, CCFinder has effectively found clones and the metrics have been able to effectively identify the characteristics of the systems. In addition, we have Compared the Proposed technique with other clone detection techniques.",Propose,"Toshihiro Kamiya, Member
Shinji Kusumoto
Katsuro Inoue",Academia,"2,002.00",IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,Journal,,"@article{Kamiya2002CCFinderAM,
  title={CCFinder: A Multilinguistic Token-Based Code Clone Detection System for Large Scale Source Code},
  author={Toshihiro Kamiya and Shinji Kusumoto and Katsuro Inoue},
  journal={IEEE Trans. Software Eng.},
  year={2002},
  volume={28},
  pages={654-670}
}",,CCFinderX
1,S2,A Catalogue of Lightweight Visualizations to Support Code Smell Inspection,"Preserving the integrity of software systems is essential in ensuring future product success. Commonly, companies allocate only
a limited budget toward perfective maintenance and instead pressure developers to focus on implementing new features. Traditional
techniques, such as code inspection, consume many staff resources
and attention from developers. Metrics automate the process of
checking for problems but produce voluminous, imprecise, and incongruent results. An opportunity exists for visualization to assist
where automated measures have failed; however, current software
visualization techniques only handle the voluminous aspect of data
but fail to address imprecise and incongruent aspects. In this paper, we describe several techniques for visualizing possible defects
reported by automated inspection tools. We Propose a catalogue
of lightweight visualizations that assist reviewers in weeding out
false positives. We implemented the visualizations in a tool called
NOSEPRINTS and present a case study on several commercial systems and open source applications in which we examined the impact of our tool on the inspection process.",Use,"Chris Parnin
Carsten Gorg
Ogechi Nnadi",Academia,"2,008.00",ACM symposium on Software visualization,Conference,https://doi.org/10.1145/1409720.1409733,"@INPROCEEDINGS{Parnin2008-mo,
  title           = ""A catalogue of lightweight visualizations to support code
                     smell inspection"",
  booktitle       = ""Proceedings of the 4th {ACM} symposium on Software
                     visuallization - {SoftVis} '08"",
  author          = ""Parnin, Chris and G{\""o}rg, Carsten and Nnadi, Ogechi"",
  publisher       = ""ACM Press"",
  year            =  2008,
  address         = ""New York, New York, USA"",
  conference      = ""the 4th ACM symposium"",
  location        = ""Ammersee, Germany""
}
",,Gendarme
2,S3,Metrics Functions for Kanban Guards,"Agile and lean approaches favor self-organizing teams
that Use low-tech solutions for communicating and negotiating project content and scope in software projects. We
consider this approach to have many benefits, but we also
recognize that there is information in software projects that
does not readily lend itself to low-tech types of visualization. Different characteristics of the code base is one such
example. In this paper, we outline metrics functions that can
take advantage of more advanced information of the development artifacts and provide the lean or agile team with
partially automated decision support for quality assurance
actions",Cite,"Jeanette Heidenberg
Ivan Porres",Academia,"2,010.00",International Conference and Workshops on Engineering of Computer-Based Systems,Conference,http://doi.org/10.1109/ECBS.2010.43,"@inproceedings{Heidenberg2010,
  doi = {10.1109/ecbs.2010.43},
  url = {https://doi.org/10.1109/ecbs.2010.43},
  year = {2010},
  publisher = {{IEEE}},
  author = {Jeanette Heidenberg and Ivan Porres},
  title = {Metrics Functions for Kanban Guards},
  booktitle = {2010 17th {IEEE} International Conference and Workshops on Engineering of Computer Based Systems}
}","In this paper, we outline metrics functions that can take advantage of more advanced information of the development artifacts and provide the lean or agile team with partially automated decision support for quality assurance actions","STAN
Resource standard metrics"
3,S4,Building Empirical Support for Automated Code Smell Detection,"Identifying refactoring opportunities in software systems is an important activity in today's agile development environments. The concept of code smells has been Proposed to characterize different types of design shortcomings in code. Additionally, metric-based detection algorithms claim to identify the ""smelly"" components automatically. This paper presents results for an empirical study performed in a commercial environment. The study investigates the way professional software developers detect god class code smells, then Compares these results to automatic classification. The results show that, even though the subjects perceive detecting god classes as an easy task, the agreement for the classification is low. Misplaced methods are a strong driver for letting subjects identify god classes as such. Earlier Proposed metric-based detection approaches performed well Compared to the human classification. These results lead to the conclusion that an automated metric-based pre-selection decreases the effort spent on manual code inspections. Automatic detection accompanied by a manual review increases the overall confidence in the results of metric-based classifiers.",Propose,"Jan Schumacher
Nico Zazworka
Forrest Shull
Carolyn Seaman
Michele Shaw",Academia,"2,010.00",International Symposium on Empirical Software Engineering and Measurement,Conference,,"@inproceedings{10.1145/1852786.1852797,
author = {Schumacher, Jan and Zazworka, Nico and Shull, Forrest and Seaman, Carolyn and Shaw, Michele},
title = {Building Empirical Support for Automated Code Smell Detection},
year = {2010},
isbn = {9781450300391},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/1852786.1852797},
doi = {10.1145/1852786.1852797},
booktitle = {Proceedings of the 2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement},
articleno = {8},
numpages = {10},
keywords = {empirical study, code smells, maintainability, code inspection, god class},
location = {Bolzano-Bozen, Italy},
series = {ESEM '10}
}",,CodeVizard
4,S5,The SQALE Quality and Analysis Models for Assessing the Quality of Ada Source Code,"This article presents the quality and analysis model of the SQALE assessment method of software source code. It explains how an Ada quality model compliant to SQALE is implemented and the results of its application to selected software, and how the Use of Ada reduces the quality debt unlike many other technologies.",Propose,"Thierry Coq
Jean-Pierre Rosen",Industry,"2,011.00",International Conference on Reliable Software Technologies,Conference,https://doi.org/10.1007/978-3-642-21338-0_5,"@incollection{Coq_2011,
	doi = {10.1007/978-3-642-21338-0_5},
	url = {https://doi.org/10.1007%2F978-3-642-21338-0_5},
	year = 2011,
	publisher = {Springer Berlin Heidelberg},
	pages = {61--74},
	author = {Thierry Coq and Jean-Pierre Rosen},
	title = {The {SQALE} Quality and Analysis Models for Assessing the Quality of Ada Source Code},
	booktitle = {Reliable Software Technologies - Ada-Europe 2011}
}","This article presents the quality and analysis model of the SQALE assessment method of software source code. It explains how an Ada quality model compliant to SQALE is implemented and the results of its application to selected software, and how the Use of Ada reduces the quality debt unlike many other technologies.",AdaControl
5,S6,Automatic detection of bad smells in code: An experimental assessment,"Code smells are structural characteristics of software that may indicate a code or design problem that makes software hard to evolve and maintain, and may trigger refactoring of code. Recent research is active in defining automatic detection tools to help humans in finding smells when code size becomes unmanageable for manual review. Since the definitions of code smells are informal and subjective, assessing how effective code smell detection tools are is both important and hard to achieve. This paper reviews the current panorama of the tools for automatic code smell detection. It defines research questions about the consistency of their responses, their ability to expose the regions of code most affected by structural decay, and the relevance of their responses with respect to future software evolution. It gives answers to them by analyzing the output of four representative code smell detectors applied to six different versions of GanttProject, an open source system written in Java. The results of these experiments cast light on what current code smell detection tools are able to do and what the relevant areas for further improvement are.",Compare,"Francesca Arcelli Fontanaa
Pietro Braionea
Marco Zanonia",Academia,"2,011.00",Journal of Object Technology,Journal,,"@article{ArcelliFontana2012,
  doi = {10.5381/jot.2012.11.2.a5},
  url = {https://doi.org/10.5381/jot.2012.11.2.a5},
  year = {2012},
  publisher = {{AITO} - Association Internationale pour les Technologies Objets},
  volume = {11},
  number = {2},
  pages = {5:1},
  author = {Francesca Arcelli Fontana and Pietro Braione and Marco Zanoni},
  title = {Automatic detection of bad smells in code: An experimental assessment.},
  journal = {The Journal of Object Technology}
}",,Checkstyle
6,S7,Detecting Software Modularity Violations,"This paper presents Clio, an approach that detects modularity violations, which can caUse software defects, modularity decay, or expensive refactorings. Clio computes the discrepancies between how components should change together based on the modular structure, and how components actually change together as revealed in version history. We evaluated Clio using 15 releases of Hadoop Common and 10 releases of Eclipse JDT. The results show that hundreds of violations identified using Clio were indeed recognized as design problems or refactored by the developers in later versions. The identified violations exhibit multiple symptoms of poor design, some of which are not easily detectable using existing approaches.",Propose,,Academia,"2,011.00",International Conference on Software Engineering,Conference,,"@INPROCEEDINGS{6032480,  author={Wong, Sunny and Cai, Yuanfang and Kim, Miryung and Dalton, Michael},  booktitle={2011 33rd International Conference on Software Engineering (ICSE)},   title={Detecting software modularity violations},   year={2011},  volume={},  number={},  pages={411-420},  doi={10.1145/1985793.1985850}}",,clio
7,S8,Value-Based Technical Debt Model and Its Application,"The majority of software development today is being
conducted in a value-neutral setting, where each functionality
once being locked down as a part of software release is treated
as equally important. This limited visibility of the real value
perceived by customer inside software engineering
organizational departments has significant consequences in the
way the technical quality of the product is being evaluated and
maintained. The relentless pursuit of efficiency in the software
engineering domain requires a broader view of long-term
economical consequences of any product-related decision.
Technical debt typically is an internalized (engineering-based)
assessment. We Propose to expand the understanding and
visibility of the technical debt by introducing a model driven
approach to provide the means to assess the technical debt
impact on perceived product quality parameters, such as
codebase/design and architecture, engineering productivity,
and finally the company’s business return on the engineering
investment. Furthermore, the case studies presented in this
paper are focUsed on the application of the technical debt
concept—how it could be identified, measured and what are
the consequences of not managing it. The key principles of this
concept were proved to be valid while evaluating the
development of a major software system release. Finally, the
need for balanced view for the technical debt management
strategy is discussed, to ensure pay-off benefits are aligned
with time-to-market expectations",Propose,"Marek G. Stochel
Mariusz R. Wawrowski
Magdalena Rabiej",Industry,"2,012.00",International Conference on Software Engineering Advances,Conference,,"@inproceedings{Stochel2012ValueBasedTD,
  title={Value-Based Technical Debt Model and Its Application},
  author={Marek Grzegorz Stochel and Mariusz R. Wawrowski and M. Rabiej},
  booktitle={ICSEA 2012},
  year={2012}
}","We Propose to expand the understanding and  visibility of the technical debt by introducing a model driven  approach to provide the means to assess the technical debt  impact on perceived product quality parameters, such as  codebase/design and architecture, engineering productivity,  and finally the company’s business return on the engineering 
 investment.","PMD
Checkstyle
Cobertura
FXCop
Klocwork
Sonar TD Plugin"
8,S9,Estimating the Principal of an Application’s Technical Debt,"This article characterizes technical debt across 700 business applications, comprising 357 MLOC. These applications were analyzed against more than 1,200 rules of good architectural and coding practice. The authors present a formula with adjustable parameters for estimating the principal of technical debt from structural quality data.",Use,"Bill Curtis
Jay Sappidi
Alexandra Szynkarski",Industry,"2,012.00",IEEE Software,Journal,https://doi.org/10.1109/ms.2012.156,"@article{Curtis2012,
  doi = {10.1109/ms.2012.156},
  url = {https://doi.org/10.1109/ms.2012.156},
  year = {2012},
  month = nov,
  publisher = {Institute of Electrical and Electronics Engineers ({IEEE})},
  volume = {29},
  number = {6},
  pages = {34--42},
  author = {Bill Curtis and Jay Sappidi and Alexandra Szynkarski},
  title = {Estimating the Principal of an Application{\textquotesingle}s Technical Debt},
  journal = {{IEEE} Software}
}","A formula with adjustable parameters can
help in estimating the principal of technical
debt from structural quality data",CAST
9,S10,A Threshold Based Approach to Technical Debt,"Nearly two decades ago, Ward Cunningham introduced us to the term ""technical debt"" as a means of describing the long term costs associated with a suboptimal software design and implementation. For most programs, especially those with a large legacy code baseline, achieving zero absolute debt is an unnecessary and unrealistic goal. It is important to recall that a primary reason for managing and eliminating debt is to drive down maintenance costs and to reduce defects. A sufficiently low, manageable level of debt can minimize the long-term impact, i.e., ""low debt interest payments"". In this article, we define an approach for establishing program specific thresholds to define manageable levels of technical debt.",Propose,Robert J. Eisenberg,Industry,"2,012.00",ACM Software Engineering Notes,Journal,https://doi.org/10.1145/2108144.2108151,"@article{Eisenberg_2012,
	doi = {10.1145/2108144.2108151},
	url = {https://doi.org/10.1145/2108144.2108151},
	year = 2012,
	month = {apr},
	publisher = {Association for Computing Machinery ({ACM})},
	volume = {37},
	number = {2},
	pages = {1--6},
	author = {Robert J. Eisenberg},
	title = {A threshold based approach to technical debt},
	journal = {{ACM} {SIGSOFT} Software Engineering Notes}
}
","In this article, we define an approach for establishing program specific thresholds to define
manageable levels of technical debt.",SonarQube
