ID,Reference,Status,Situation,Found in Previous Selection?,Criteria
1,"[S1] E. Allman, Managing technical debt - shortcuts that savemoney and time today can cost you down the road, Communications of the ACM 55 (5) (2012) 50-55.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
2,"[S2] E. Alzaghoul, R. Bahsoon, CloudMTD: using real options tomanage technical debt in cloud-based service selection, in:Proceedings of the 4th International Workshop on ManagingTechnical Debt (MTDâ€™13), IEEE, San Francisco, CA, USA 2013,pp. 55â€“62.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
3,"[S3] B. Barton, C. Sterling, Manage project portfolios more effectively by including software debt in the decision process, CutterIT Journal 23 (10) (2010) 19â€“24.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
4,"[S4] R. Bavani, Distributed agile, agile testing, and technical debt,IEEE Software 29 (6) (2012) 28â€“33.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
5,"[S5] S. Bellomo, R.L. Nord, I. Ozkaya, A study of enabling factorsfor rapid fielding: combined practices to balance speed andstability, in: Proceedings of the 2013 International Conferenceon Software Engineering (ICSEâ€™13), IEEE, San Francisco, CA, USA,2013, pp. 982â€“991.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
6,"[S6] S. Black, P.P. Boca, J.P. Bowen, J. Gorman, M. Hinchey, Formalversus agile: survival of the fittest, Computer 42 (9) (2009)37â€“45.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
7,"[S7] J. Bohnet, J. DÃ¶llner, Monitoring code quality and developmentactivity by software maps, in: Proceedings of the 2nd International Workshop on Managing Technical Debt (MTDâ€™11), ACM,Waikiki, Honolulu, HI, USA, 2011, pp. 9â€“16.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
8,"[S8] J. Brondum, L. Zhu, Visualising architectural dependencies, in:Proceedings of the 3rd International Workshop on ManagingTechnical Debt (MTDâ€™12), IEEE, Zurich, Switzerland, 2012, pp.7â€“14.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
9,"[S9] N. Brown, Y. Cai, Y. Guo, R. Kazman, M. Kim, P. Kruchten, E.Lim, A. MacCormack, R. Nord, I. Ozkaya, R. Sangwan, C. Seaman,K. Sullivan, N. Zazworka, Managing technical debt in softwarereliant systems, in: Proceedings of the FSE/SDP workshop onfuture of software engineering research (FoSERâ€™10), ACM, SantaFe, New Mexico, USA, 2010, pp. 47â€“52.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
10,"[S10] F. Buschmann, To pay or not to pay technical debt, IEEESoftware 28 (6) (2011) 29â€“31.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
11,"[S11] S. Chin, E. Huddleston, W. Bodwell, I. Gat, The economics oftechnical debt, Cutter IT Journal 23 (10) (2010) 11â€“15.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
12,"[S12] Z. Codabux, B. Williams, Managing technical debt: an industrial case study, in: Proceedings of the 4th InternationalWorkshop on Managing Technical Debt (MTDâ€™13), IEEE, SanFrancisco, CA, USA, 2013, pp. 8â€“15.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
13,"[S13] P. Conroy, Technical debt: where are the shareholdersâ€™ interests?, IEEE Software 29 (6) (2012) 88â€“88.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
14,"[S14] T. Coq, J.P. Rosen, The SQALE quality and analysis modelsfor assessing the quality of Ada source code, in: Proceedingsof the 16th Ada-Europe International Conference on ReliableSoftware Technologies (Ada-Europeâ€™11), Springer Berlin Heidelberg, Edinburgh, UK, 2011, pp. 61â€“74.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
15,"[S15] W. Cunningham, The WyCash portfolio management system, in: Proceedings of the 7th Object-Oriented ProgrammingSystems, Languages, and Applications (OOPSLAâ€™92), ACM, Vancouver, British Columbia, Canada, 1992, pp. 29â€“30.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
16,"[S16] B. Curtis, J. Sappidi, A. Szynkarski, Estimating the principalof an applicationâ€™s technical debt, IEEE Software 29 (6) (2012)34â€“42.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
17,"[S17] B. Curtis, J. Sappidi, A. Szynkarski, Estimating the size, cost,and types of Technical Debt, in: Proceedings of the 3rd International Workshop on Managing Technical Debt (MTDâ€™12), IEEE,Zurich, Switzerland, 2012, pp. 49â€“53.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
18,"[S18] J.D. Davis, T.J. Andersen, Surviving the economic downturn,in: Proceedings of the 12th AGILE Conference (AGILEâ€™09), IEEE,Chicago, IL, USA, 2009, pp. 245â€“250.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
19,"[S19] N. Davis, Driving quality improvement and reducing technical debt with the definition of done, in: Proceedings of the 16thAGILE Conference (AGILEâ€™13), IEEE, Nashville, TN, USA, 2013,pp. 164â€“168.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
20,"[S20] J. de Groot, A. Nugroho, T. Back, J. Visser, What is the valueof your software?, in: Proceedings of the 3rd InternationalWorkshop on Managing Technical Debt (MTDâ€™12), IEEE, Zurich,Switzerland, 2012, pp. 37â€“44.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
21,"[S21] C. Ebert, A useful metaphor for risk â€“ poorly practiced, IEEESoftware 29 (6) (2012) 53â€“55.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
22,"[S22] R.J. Eisenberg, A threshold based approach to technical debt,SIGSOFT Software Engineering Notes 37 (2) (2012) 1â€“6.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
23,"[S23] N.A. Ernst, On the role of requirements in understandingand managing technical debt, in: Proceedings of the 3rd International Workshop on Managing Technical Debt (MTDâ€™12),IEEE, Zurich, Switzerland, 2012, pp. 61â€“64.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
24,"[S24] D. Falessi, M.A. Shaw, F. Shull, K. Mullen, M.S. Keymind,Practical considerations, challenges, and requirements of toolsupport for managing technical debt, in: Proceedings of the4th International Workshop on Managing Technical Debt(MTDâ€™13), IEEE, San Francisco, CA, USA, 2013, pp. 16â€“19.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
25,"[S25] F.A. Fontana, V. Ferme, S. Spinelli, Investigating the impact ofcode smells debt on quality code evaluation, in: Proceedings ofthe 3rd International Workshop on Managing Technical Debt(MTDâ€™12), IEEE, Zurich, Switzerland, 2012, pp. 15â€“22.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
26,"[S26] I. Gat, Revolution in software: using technical debt techniques to govern the software development process, AgileProduct & Project Management 11 (4) (2010) 1â€“13.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
