Id,Status,Situation,Criteria,Justification,Title,Abstract,Main Topic,Method,Authors,Venue,Year,Venue Type,DOI,Link,Downloaded,Keywords
S1,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Identification of refused bequest code smells,"Accumulated technical debt can be alleviated by means of refactoring application aiming at architectural improvement. A prerequisite for wide scale refactoring application is the automated identification of the corresponding refactoring opportunities, or code smells. One of the major architectural problems that has received limited attention is the so called 'Refused Bequest' which refers to inappropriate use of inheritance in object-oriented systems. This code smell occurs when subclasses do not take advantage of the inherited behavior, implying that replacement by delegation should be used instead. In this paper we propose a technique for the identification of Refused Bequest code smells whose major novelty lies in the intentional introduction of errors in the inherited methods. The essence of inheritance is evaluated by exercising the system's functionality through the corresponding unit tests in order to reveal whether inherited methods are actually employed by clients. Based on the results of this approach and other structural information, an indication of the smell strength on a 'thermometer' is obtained. The proposed approach has been implemented as an Eclipse plugin. © 2013 IEEE.",Smells,Tool,"Ligu, E. and Chatzigeorgiou, A. and Chaikalis, T. and Ygeionomakis, N.","IEEE International Conference on Software Maintenance, ICSM","2,013.00",Conference Paper,10.1109/ICSM.2013.55,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891703020&doi=10.1109%2fICSM.2013.55&partnerID=40&md5=bf2f683b69d141c10b6e19556c5d4d8b,No,Code smell;  Refactoring;  Refused Bequest;  Software maintenance
S2,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,"A multiple case study of design pattern decay, grime, and rot in evolving software systems","Software designs decay as systems, uses, and operational environments evolve. Decay can involve the design patterns used to structure a system. Classes that participate in design pattern realizations accumulate grime-non-pattern-related code. Design pattern realizations can also rot, when changes break the structural or functional integrity of a design pattern. Design pattern rot can prevent a pattern realization from fulfilling its responsibilities, and thus represents a fault. Grime buildup does not break the structural integrity of a pattern but can reduce system testability and adaptability. This research examined the extent to which software designs actually decay, rot, and accumulate grime by studying the aging of design patterns in three successful object-oriented systems. We generated UML models from the three implementations and employed a multiple case study methodology to analyze the evolution of the designs. We found no evidence of design pattern rot in these systems. However, we found considerable evidence of pattern decay due to grime. Dependencies between design pattern components increased without regard for pattern intent, reducing pattern modularity, and decreasing testability and adaptability. The study of decay and grime showed that the grime that builds up around design patterns is mostly due to increases in coupling. © 2012 Springer Science+Business Media, LLC.",TD Symptoms/Consequences,Case Study,"Izurieta, C. and Bieman, J.M.",Software Quality Journal,"2,013.00",Article,10.1007/s11219-012-9175-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875478113&doi=10.1007%2fs11219-012-9175-x&partnerID=40&md5=51d1796a2db69b0fa54f5d8fb34bfe0e,No,Decay;  Design concepts;  Design patterns;  Grime;  Multiple case study;  Object-oriented design methods;  Software evolution;  Technical debt
S4,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Visualizing and managing technical debt in agile development: An experience report,"This paper reports the experience of an architecture team of a software development department with 25 agile teams in supporting technical decisions regarding technical practices. The main motivation to use technical debt metaphor was its acknowledged potential in driving software development and maintenance decisions, especially those long term maintenance tradeoffs which are usually less visible to developers and decision makers in general. We propose the use of a ""technical debt board"" with main technical debt categories to manage and visualize the high-level debt, combined with tools to measure it at low-level (software metrics and other kind of static analysis). We have found that our approach improved the teams’ awareness about the technical debt, stimulated a beneficial competition between teams towards the debt payment and enhanced the communication regarding technical decisions. © Springer-Verlag Berlin Heidelberg 2013.",Technical Debt,Experience Report,"dos Santos, P.S.M. and Varella, A. and Dantas, C.R. and Borges, D.B.",Lecture Notes in Business Information Processing,"2,013.00",Conference Paper,10.1007/978-3-642-38314-4_9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979538124&doi=10.1007%2f978-3-642-38314-4_9&partnerID=40&md5=866c1da990d6155f2e75038fc7098d65,No,Agile practices;  Software quality;  Technical debt;  Visualization
S16,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Integrating technical debt into MDE,"The main goal of this work is to evaluate the feasibility to calculate the technical debt (a traditional software quality approach) in a model-driven context through the same tools used by software developers at work. The SonarQube tool was used, so that the quality check was performed directly on projects created with Eclipse Modeling Framework (EMF) instead of traditionals source code projects. In this work, XML was used as the model specification language to verify in Sonar-Qube due to the creation of EMF metamodels in XMI (XML Metadata Interchange) and that SonarQube offers a plugin to assess the XML language. After this, our work focused on the definition of model rules as an XSD schema (XML Schema Definition) and the integration between EMF-SonarQube in order that these metrics were directly validated by SonarQube; and subsequently, this tool determined the technical debt that the analyzed EMF models could contain.",Technical Debt,Case Study,"Giraldo, F.D. and España, S. and Pineda, M.A. and Giraldo, W.J. and Pastor, O.",CEUR Workshop Proceedings,"2,014.00",Conference Paper,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924351316&partnerID=40&md5=038ecd86e2bcb5d206902c1f23c88d16,No,EMF;  Model-driven engineering;  SonarQube;  Technical debt
S9,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Comparing four approaches for technical debt identification,"Software systems accumulate technical debt (TD) when short-term goals in software development are traded for long-term goals (e.g., quick-and-dirty implementation to reach a release date versus a well-refactored implementation that supports the long-term health of the project). Some forms of TD accumulate over time in the form of source code that is difficult to work with and exhibits a variety of anomalies. A number of source code analysis techniques and tools have been proposed to potentially identify the code-level debt accumulated in a system. What has not yet been studied is if using multiple tools to detect TD can lead to benefits, that is, if different tools will flag the same or different source code components. Further, these techniques also lack investigation into the symptoms of TD “interest” that they lead to. To address this latter question, we also investigated whether TD, as identified by the source code analysis techniques, correlates with interest payments in the form of increased defect- and change-proneness. Comparing the results of different TD identification approaches to understand their commonalities and differences and to evaluate their relationship to indicators of future TD “interest.” We selected four different TD identification techniques (code smells, automatic static analysis issues, grime buildup, and Modularity violations) and applied them to 13 versions of the Apache Hadoop open source software project. We collected and aggregated statistical measures to investigate whether the different techniques identified TD indicators in the same or different classes and whether those classes in turn exhibited high interest (in the form of a large number of defects and higher change-proneness). The outputs of the four approaches have very little overlap and are therefore pointing to different problems in the source code. Dispersed Coupling and Modularity violations were co-located in classes with higher defect-proneness. We also observed a strong relationship between Modularity violations and change-proneness. Our main contribution is an initial overview of the TD landscape, showing that different TD techniques are loosely coupled and therefore indicate problems in different locations of the source code. Moreover, our proxy interest indicators (change- and defect-proneness) correlate with only a small subset of TD indicators. © 2013, Springer Science+Business Media New York.",Technical Debt,Case Study,"Zazworka, N. and Vetro’, A. and Izurieta, C. and Wong, S. and Cai, Y. and Seaman, C. and Shull, F.",Software Quality Journal,"2,014.00",Article,10.1007/s11219-013-9200-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928169106&doi=10.1007%2fs11219-013-9200-8&partnerID=40&md5=0ca77046cb825627495cf14aba1d3991,No,ASA;  Code smells;  Grime;  Modularity violations;  Software maintenance;  Software quality;  Source code analysis;  Technical debt
S29,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,(Automated) software modularization using community detection,"The modularity of a software system is known to have an effect on, among other, development effort, change impact, and technical debt. Modularizing a specific system and evaluating this modularization is, however, challenging. In this paper, we apply community detection methods to the graph of class dependencies in software systems to find optimal modularizations through communities. We evaluate this approach through a study of 111 Java systems contained in the Qualitas Corpus. We found that using the modularity function of Newman with an Erdős-Rényi null-model and using the community detection algorithm of Reichardt and Bornholdt improved community quality for all systems, that coupling decreased for 99 of the systems, and that coherence increased for 102 of the systems. Furthermore, the modularity function correlates with existing metrics for coupling and coherence. © Springer International Publishing Switzerland 2015.",TD Symptoms/Consequences,Tool,"Hansen, K.M. and Manikas, K.",IFIP Advances in Information and Communication Technology,"2,015.00",Conference Paper,10.1007/978-3-319-23727-5_8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951144543&doi=10.1007%2f978-3-319-23727-5_8&partnerID=40&md5=7232daaf4d84c16dddd07cd99793e5ff,No,Module structure;  Software architecture;  Software modularity
S38,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Assessing the Effectiveness of Static Analysis through Defect Correlation Analysis,"Assessment of code and design quality using Software Code Assessment tools is important for continuous improvement and monitoring of code quality in the software industry in general and for global software development in particular. Static Analysis is believed to help identify issues at an early stage in the software development life cycle (SDLC), however it is still under utilized in the industry. In this paper, we discuss our experiences in determining the importance of Static Analysis and the extent to which the defects (that could otherwise be slipped to later stages of SDLC) could have been reduced with the continuous use of Static Analysis. Towards this end, we have performed analysis of defects reported from testing/field by correlating the defects to Static Analysis Rules, for projects that were developed across different regions. Our focus was to gather insight into the number and type of defects that could be identified in advance through Static Analysis Rules. The purpose of gaining the insights is to justify the ROI for software quality checks, fine tune, update existing software quality practices and introduce new practices uniformly across the teams as necessary. The results substantiate the role of Static Analysis in reducing technical debt by identifying potential defects early in the SDLC. © 2015 IEEE.",TD Symptoms/Consequences,Experience Report,"Venkatasubramanyam, R.D. and Gupta, S. and Uppili, U.","Proceedings - 2015 IEEE 10th International Conference on Global Software Engineering, ICGSE 2015","2,015.00",Conference Paper,10.1109/ICGSE.2015.18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957873187&doi=10.1109%2fICGSE.2015.18&partnerID=40&md5=26bf00c52b0b3a12499dd733cb3258b5,No,defect analysis;  defect correlation;  software code quality;  software product quality;  static analysis
S27,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Conciliating model-driven engineering with technical debt using a quality framework,"The main goal of this work is to evaluate the feasibility to calculate the technical debt (a traditional software quality approach) in a model-driven context through the same tools used by software developers at work. The SonarQube tool was used, so that the quality check was performed directly on projects created with Eclipse Modeling Framework (EMF) instead of traditionals source code projects. In this work, XML was used as the model specification language to verify in Sonar- Qube due to the creation of EMF metamodels in XMI (XML Metadata Interchange) and that SonarQube offers a plugin to assess the XML language. After this, our work focused on the definition of model rules as an XSD schema (XML Schema Definition) and the integration between EMF-SonarQube in order that these metrics were directly validated by SonarQube; and subsequently, this tool determined the technical debt that the analyzed EMF models could contain. © Springer International Publishing Switzerland 2015.",Technical Debt,Case Study,"Giraldo, F.D. and España, S. and Pineda, M.A. and Giraldo, W.J. and Pastor, O.",Lecture Notes in Business Information Processing,"2,015.00",Conference Paper,10.1007/978-3-319-19270-3_13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946415372&doi=10.1007%2f978-3-319-19270-3_13&partnerID=40&md5=529c0a2cb556c966d08f0b9544d65389,No,EMF;  Model-driven engineering;  SonarQube;  Technical debt
S66,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,JSpIRIT: A flexible tool for the analysis of code smells,"Code smells are a popular mechanism to identify structural design problems in software systems. Since it is generally not feasible to f x all the smells arising in the code, some of them are often postponed by developer s to be resolved in the future. One reason for this decision is that the improvement of the code structure, to achieve modifability goals, requires extra effort from developer s. Therefore, they might not always spend this additional effort, particularly when they are focused on delivering customer-visible features. This postponement of code smells are seen as a source of technical debt. Furthermore, not all the code smells may be urgent to f x in the context of the system's modifability and business goals. While there are a number of tools to detect smells, they do not allow developer s to discover the most urgent smells according to their goals. In this article, we present a fexible tool to prioritize technical debt in the form of code smells. The tool is fexible to allow developer s to add new smell detection strategies and to prioritize smells, and groups of smells, based on the confguration of their manifold criteria. To illustrate this fexibility, we present an application example of our tool. The results suggest that our tool can be easily extended to be aligned with the developer's goals. © 2015 IEEE.",Smells,Tool,"Vidal, S. and Vazquez, H. and Diaz-Pace, J.A. and Marcos, C. and Garcia, A. and Oizumi, W.","Proceedings - International Conference of the Chilean Computer Science Society, SCCC","2,016.00",Conference Paper,10.1109/SCCC.2015.7416572,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963765824&doi=10.1109%2fSCCC.2015.7416572&partnerID=40&md5=60c8c22f1ef0ffc4da831beed02748d7,No,
S79,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Designite - A software design quality assessment tool,"Poor design quality and huge technical debt are common issues perceived in real-life software projects. Design smells are indicators of poor design quality and the volume of design smells found could be treated as the design debt of the software system. The existing smell detection tools focus largely on implementation smells and do not reveal a comprehensive set of smells that arise at design level. In this paper, we present Designite - a software design quality assessment tool. It not only supports comprehensive design smells detection but also provides a detailed metrics analysis. Further, it offers various features to help identify issues contributing to design debt and improve the design quality of the analyzed software system. © 2016 ACM.",Smells,Tool,"Sharma, T. and Mishra, P. and Tiwari, R.","Proceedings - 1st International Workshop on Bringing Architectural Design Thinking Into Developers' Daily Activities, Bridge 2016","2,016.00",Conference Paper,10.1145/2896935.2896938,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974622642&doi=10.1145%2f2896935.2896938&partnerID=40&md5=1d1ba425177c0704407cab048957516f,No,Design debt;  Design smells;  DSM;  Refactoring;  Technical debt
