Title,Status,Remarks,Snowballing Type
A Catalogue of Lightweight Visualizations to Support Code Smell Inspection,Accepted,Gerdame,Backward
Assessing technical debt by identifying design flaws in software systems,Accepted,SonarQube,Backward
Automatic detection of bad smells in code: An experimental assessment,Accepted,Checkstyle,Backward
Automatic detection of instability architectural smells,Accepted,"Arcan, Ai Reviewer,Undestand",Backward
Building Empirical Support for Automated Code Smell Detection,Accepted,CodeVizard,Backward
CCFinder: A Multilinguistic Token-Based Code Clone Detection System for Large Scale Source Code,Accepted,ccfinderx,Backward
Code Smell Detecting Tool and Code Smell-Structure Bug Relationship,Accepted,FindBugs,Backward
Code Smell Detection: Towards a Machine Learning-Based Approach,Accepted,CheckStyle,Backward
Code smells and their collocations: A large-scale experiment on open-source systems,Accepted,"AI Reviewer, PMD,CheckStyle",Backward
Comparing and experimenting machine learning techniques for code smell detection,Accepted,PMD,Backward
"ConcernReCS: Finding Code Smells in Software Aspectization",Accepted,concernrecs,Backward
Detecting software modularity violations,Accepted,"Lattix,Ndepend,Structure101",Backward
Experimental Evaluation of Code Smell Detection Tools,Accepted,"PMD,Jdeodorant",Backward
Improving code smell predictions in continuous integration by differentiating organic from cumulative measures,Accepted,SpotBugs,Backward
Mining Version Histories for Detecting Code Smells,Accepted,"Jdeodorant,PtiDej",Backward
Refactoring for software architecture smells,Accepted,Sonargraph,Backward
To what extent can maintenance problems be predicted by code smell detection? – An empirical study,Accepted,Together,Backward
Towards a Prioritization of Code Debt: A Code Smell Intensity Index,Accepted,jcodeodor,Backward
Support for architectural smell refactoring,Accepted,"Arcan,Sonargraph",Backward
Supporting the identification of architecturally-relevant code anomalies,Accepted,"Together,Understand",Backward
The Formal Definition and Automatic Detection of Architecture Smells,Accepted,"SonarQube,Understand",Backward
Toward a smell-aware bug prediction model,Accepted,Jcodeodor,Backward
Towards anticipation of architectural smells using link prediction techniques,Accepted,"Arcan,Designite",Backward
A framework for conditional statement technical debt identification and description,Accepted,script,Forward
BreakBot: Analyzing the Impact of Breaking Changes to Assist Library Evolution,Accepted,breakbot,Forward
Characterizing and Mitigating Self-Admitted Technical Debt in Build Systems,Accepted,script,Forward
Comparing Univariate and Multivariate Time Series Models for Technical Debt Forecasting,Accepted,SonarQube,Forward
On the Adoption of a TODO Bot on GITHuB: A Preliminary Study,Accepted,Todo bot,Forward
Sonarlizer Xplorer: A tool to mine Github projects and identify technical debt items using SonarQube,Accepted,sonalizer-xplorer,Forward
Merging Smell Detectors: Evidence on the Agreement of Multiple Tools,Accepted,smelldetectormerger,Forward
TD Classifier: Automatic Identification of Java Classes with High Technical Debt,Accepted,TD-Identifier,Forward
WeakSATD: Detecting Weak Self-admitted Technical Debt,Accepted,GH Actions,Forward
Quality-driven detection and resolution of metamodel smells,Accepted ,gssi/edelta_bad_smells,Backward
A bayesian approach for the detection of code and design smells,Rejected,No artifact pointed out,Backward
A case study on effectively identifying technical debt,Rejected,Study already collected in other steps,Backward
A heuristic-based approach to code-smell detection,Rejected,Artifact not available,Backward
A practice-driven systematic review of dependency analysis solutions,Rejected,No artifact pointed out,Backward
A tool for design pattern detection and software architecture reconstruction,Rejected,Artifact not available,Backward
A tool framework for static and dynamic analysis of object-oriented software with templates,Rejected,Artifact not available,Backward
An Exploratory study of the impact of code smells on software change-proneness,Rejected,No artifact pointed out,Backward
